2022-12-20 18:12:411 INFO  HomePage :106 - The Category List is []
2022-12-20 18:12:273 INFO  HomePage :106 - The Category List is [[[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (3b81598b628eb9d6a1b3a946cd8c28cc)] -> xpath: //div[@class='item-grid']/child::*]]
2022-12-20 18:12:25 INFO  TopMenuPage :44 - Menu option selected[[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='header-menu']//ul/child::*]]
2022-12-20 18:12:426 INFO  HomePage :106 - The Category List is [[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/child::*], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/child::*]]
2022-12-20 18:12:523 INFO  ProductPage :61 - Select Sort By[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //select[@id='products-orderby']]
2022-12-20 18:12:538 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 18:12:577 INFO  ProductPage :95 - List of Products after sorting[[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 18:12:578 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 18:12:605 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 18:12:631 INFO  ProductPage :84 - Product List[[[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2], [[ChromeDriver: chrome on WINDOWS (ab694338466e2d92d1964c744b69e828)] -> xpath: //div[@class='item-grid']/div//h2]]
2022-12-20 19:12:868 INFO  TopMenuPage :44 - Menu option selected[[[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*], [[ChromeDriver: chrome on WINDOWS (4f681c760b04fa88cd8eb21b788f73be)] -> xpath: //div[@class='header-menu']//ul/child::*]]
